join_index,sampling_index,origin,destination,area,ttpTravelTime
185,185,"48.1948876 , 16.309101000000002","48.3367194 , 16.3094048",urban-urban,1913
186,186,"48.2700673 , 16.3992854","48.1787214 , 16.3084485",urban-urban,1687
187,187,"48.145349200000005 , 16.2871062","48.2583817 , 16.287137400000002",urban-urban,1914
188,188,"47.324658400000004 , 13.192695700000002","47.324084600000006 , 13.394793700000001",urban-rural,1914
189,189,"48.2600033 , 16.2145158","48.142923 , 16.3315147",rural-urban,1914
190,190,"47.8453893 , 13.105697200000002","47.747214400000004 , 13.0070584",urban-urban,1685
191,191,"48.2187938 , 16.2913027","48.3250387 , 16.396907300000002",urban-urban,1915
192,192,"47.041296800000005 , 15.466984900000002","47.1529311 , 15.466357100000002",urban-urban,1684
193,193,"47.0701711 , 15.377224300000002","47.070691200000006 , 15.535462200000001",rural-rural,1682
194,194,"48.194512800000005 , 16.3861989","48.340647800000006 , 16.2399189",urban-urban,1919
195,195,"47.1198605 , 15.487888900000002","47.0267732 , 15.581602100000001",urban-urban,1681
196,196,"48.278376900000005 , 16.3897927","48.1769252 , 16.288613700000003",urban-urban,1681
197,197,"48.222832100000005 , 16.2476327","48.0854197 , 16.2474613",urban-urban,1919
198,198,"47.042892900000005 , 15.490020800000002","47.135745400000005 , 15.582747800000002",urban-urban,1677
199,199,"47.4703898 , 9.6054853","47.3675239 , 9.708106",urban-urban,1924
200,200,"48.1362833 , 16.2239803","48.2174154 , 16.2238461",urban-urban,1674
201,201,"48.144321000000005 , 16.148895200000002","48.144260300000006 , 15.9547982",urban-rural,1927
202,202,"47.071182400000005 , 15.5130619","47.191102400000005 , 15.393703200000001",urban-rural,1928
203,203,"48.136246 , 16.2803818","48.2509066 , 16.280736400000002",urban-urban,1929
204,204,"47.071737600000006 , 15.3652864","47.0721592 , 15.5561889",urban-rural,1930
205,205,"48.2865351 , 16.4505535","48.200937100000004 , 16.5366417",urban-urban,1930
206,206,"47.460413800000005 , 9.620988500000001","47.3753566 , 9.7066513",urban-urban,1670
207,207,"48.322705600000006 , 14.252314700000001","48.2051512 , 14.369284400000002",rural-urban,1930
208,208,"48.2109232 , 16.3648643","48.343678700000005 , 16.231489800000002",urban-urban,1669
209,209,"47.113282000000005 , 15.432054","46.9981859 , 15.4327015",urban-urban,1669
210,210,"47.1159143 , 15.4274882","47.028758 , 15.514563500000001",urban-rural,1668
211,211,"48.219737800000004 , 16.2971819","48.3126514 , 16.2976548",urban-urban,1668
212,212,"48.1602297 , 16.2757466","48.249187400000004 , 16.3646049",urban-urban,1668
213,213,"47.042061000000004 , 15.468299300000002","47.1462384 , 15.4682256",urban-urban,1665
214,214,"47.118568200000006 , 15.430611700000002","47.037901100000006 , 15.511049900000002",urban-rural,1665
215,215,"47.4301406 , 9.6662982","47.350873500000006 , 9.745458000000001",urban-urban,1664
216,216,"48.173736500000004 , 16.4807682","48.307259800000004 , 16.3468683",urban-urban,1664
217,217,"47.8032656 , 13.0088012","47.8039271 , 13.110680400000001",urban-rural,1664
218,218,"48.182822800000004 , 16.2803551","48.279295000000005 , 16.2808777",urban-urban,1662
219,219,"47.4653244 , 9.7781204","47.3787699 , 9.778394800000001",urban-urban,1661
220,220,"48.2638985 , 16.4577584","48.2636497 , 16.2110868",urban-urban,1941
221,221,"48.225186 , 16.5205141","48.310722600000005 , 16.434969300000002",urban-urban,1658
222,222,"48.2561181 , 16.320834100000003","48.1680385 , 16.320689400000003",rural-urban,1658
223,223,"47.2851784 , 11.398348400000001","47.2858329 , 11.576460200000001",urban-urban,1658
224,224,"48.2221495 , 16.295093700000002","48.309565000000006 , 16.2944402",urban-urban,1658
225,225,"47.9097184 , 16.7023707","48.005894000000005 , 16.7987267",urban-urban,1658
226,226,"48.175687100000005 , 16.3485187","48.1753828 , 16.1055532",urban-rural,1943
227,227,"47.4925234 , 9.688310300000001","47.591135300000005 , 9.787497100000001",urban-urban,1656
228,228,"48.275965600000006 , 16.105164600000002","48.2759038 , 16.3557484",urban-urban,1944
229,229,"47.0117272 , 15.388272","47.1497602 , 15.387685500000002",urban-rural,1944
230,230,"47.0843476 , 15.5535378","47.084491 , 15.3698379",rural-rural,1945
231,231,"47.072395300000004 , 15.491206300000002","46.927738500000004 , 15.491586300000002",urban-urban,1945
232,232,"48.171607200000004 , 16.612426600000003","48.1713596 , 16.480399300000002",urban-rural,1946
233,233,"47.0067485 , 15.5302968","47.123936300000004 , 15.5304341",rural-urban,1654
234,234,"47.013550200000005 , 15.411785700000001","47.1455579 , 15.411592100000002",urban-urban,1654
235,235,"48.185934800000005 , 16.373650700000002","48.2646888 , 16.2944874",urban-urban,1654
236,236,"48.15652660000001 , 16.053451600000002","48.254924100000004 , 16.1520872",urban-urban,1653
237,237,"47.0807334 , 15.394496100000001","46.9540713 , 15.520828300000002",urban-urban,1947
238,238,"47.123221400000006 , 15.453861100000001","47.012784800000006 , 15.564413000000002",urban-urban,1947
239,239,"47.703763200000004 , 13.100331200000001","47.866921600000005 , 13.099737000000001",urban-rural,1947
240,240,"48.1696583 , 16.285500300000002","48.254497 , 16.3701063",urban-rural,1652
241,241,"48.308761800000006 , 16.3205285","48.3081134 , 16.4592284",urban-urban,1652
242,242,"48.1749103 , 16.5024914","48.308472 , 16.3683707",urban-urban,1651
243,243,"47.087739500000005 , 15.3435904","47.088134100000005 , 15.528914700000001",urban-urban,1949
244,244,"48.207362200000006 , 16.3058155","48.127854400000004 , 16.226910200000003",urban-urban,1651
245,245,"47.3466803 , 13.3013314","47.4364168 , 13.211469200000002",rural-rural,1651
246,246,"47.485103200000005 , 9.7121407","47.582338 , 9.8090848",urban-urban,1651
247,247,"48.208170300000006 , 16.4301682","48.2084698 , 16.235954",urban-urban,1950
248,248,"48.268221000000004 , 14.345047800000001","48.1677751 , 14.2441647",urban-urban,1649
249,249,"48.1520159 , 16.1813223","48.1516491 , 16.364030800000002",urban-rural,1648
250,250,"48.209704200000004 , 16.2279626","48.209662300000005 , 16.4065544",urban-urban,1953
251,251,"47.467598800000005 , 9.5984373","47.4676613 , 9.793589",urban-urban,1953
252,252,"47.927096000000006 , 16.6989544","48.0148403 , 16.7873607",rural-urban,1647
253,253,"47.1372018 , 15.4735922","46.997558000000005 , 15.4734557",urban-rural,1954
254,254,"47.082563400000005 , 15.5263919","47.082463100000005 , 15.330909900000002",rural-urban,1954
255,255,"48.252728100000006 , 16.3711121","48.253190000000004 , 16.1993206",urban-urban,1954
256,256,"48.3445356 , 16.2346685","48.1952238 , 16.3840869",urban-urban,1955
257,257,"48.2635627 , 16.456592800000003","48.2636497 , 16.2110868",urban-urban,1955
258,258,"46.593880000000006 , 13.830480900000001","46.671585400000005 , 13.908488400000001",urban-urban,1645
259,259,"47.1008988 , 15.3873087","47.100856300000004 , 15.570736700000001",urban-rural,1645
260,260,"48.2132747 , 16.2269124","48.2932214 , 16.306935600000003",urban-urban,1644
261,261,"47.328332 , 13.238050000000001","47.327761200000005 , 13.0591161",rural-urban,1956
262,262,"47.3469483 , 13.003853000000001","47.314635800000005 , 13.035942200000001",rural-urban,1958
263,263,"47.0765924 , 15.417178900000001","46.9549809 , 15.539272500000001",urban-urban,1958
264,264,"48.1848229 , 16.3746191","48.264588800000006 , 16.294339400000002",urban-rural,1641
265,265,"47.312724900000006 , 13.109403400000001","47.424556900000006 , 13.2218514",urban-rural,1641
266,266,"47.120448200000006 , 15.4123684","47.0312898 , 15.5016858",urban-urban,1640
267,267,"47.123224500000006 , 15.4110095","47.0002238 , 15.4107526",urban-rural,1640
268,268,"48.1905768 , 16.4132641","48.1904307 , 16.170656400000002",rural-urban,1961
269,269,"48.265291500000004 , 16.328563600000003","48.192491200000006 , 16.2558542",urban-urban,1639
270,270,"48.3418567 , 16.4646042","48.191536400000004 , 16.313660300000002",urban-urban,1961
271,271,"47.0721822 , 15.5192349","46.9198685 , 15.519035800000001",urban-urban,1962
272,272,"47.066431200000004 , 15.316467200000002","47.1707989 , 15.420398800000001",rural-rural,1638
273,273,"48.216669100000004 , 16.223582","48.216238800000006 , 16.4059864",urban-urban,1962
274,274,"47.139172800000004 , 15.475128900000001","46.9983045 , 15.474538",urban-rural,1963
275,275,"48.3367828 , 16.4611002","48.189317 , 16.3134085",urban-urban,1963
276,276,"48.2174137 , 16.223881300000002","48.2180551 , 16.3971696",urban-urban,1964
277,277,"47.01469710000001 , 15.429986600000001","47.1771928 , 15.429421900000001",urban-rural,1965
278,278,"46.6067416 , 13.810042000000001","46.606641 , 13.890896300000001",urban-rural,1635
279,279,"47.909703500000006 , 16.7001992","48.006614500000005 , 16.7975852",urban-urban,1634
280,280,"47.038540000000005 , 15.5800397","46.9113976 , 15.4530936",urban-urban,1633
281,281,"47.109954 , 15.493665900000002","46.970433500000006 , 15.493469500000002",urban-rural,1968
282,282,"48.278167100000005 , 16.3928328","48.1775682 , 16.291921300000002",urban-urban,1631
283,283,"48.2061854 , 16.448065","48.2065318 , 16.2351299",urban-urban,1969
284,284,"48.1305546 , 16.255368100000002","48.232994600000005 , 16.3581021",urban-urban,1969
285,285,"48.2143846 , 16.3039691","48.311479000000006 , 16.4005982",urban-urban,1631
286,286,"47.0947922 , 15.4028115","46.9653695 , 15.5316962",urban-urban,1970
287,287,"47.4512306 , 12.7895198","47.565604500000006 , 12.6754545",urban-urban,1971
288,288,"47.3397396 , 13.288149500000001","47.340102900000005 , 13.1002203",urban-rural,1971
289,289,"48.210851100000006 , 16.2822096","48.211268800000006 , 16.4104037",urban-urban,1628
290,290,"48.167340900000006 , 16.2582692","48.2667687 , 16.2576523",urban-urban,1972
291,291,"47.1239263 , 15.530587","47.0246664 , 15.530849900000002",urban-rural,1972
292,292,"47.3160788 , 13.197888500000001","47.3164985 , 13.394339400000002",rural-rural,1972
293,293,"47.1073363 , 15.4232054","46.993943300000005 , 15.422803400000001",urban-urban,1626
294,294,"48.264599700000005 , 16.3294481","48.187427400000004 , 16.2526888",urban-urban,1626
295,295,"48.2770279 , 16.371980100000002","48.2776155 , 16.209603700000002",urban-urban,1626
296,296,"48.3854277 , 16.4731989","48.2792024 , 16.3667018",urban-rural,1625
297,297,"47.0808547 , 15.524453200000002","47.1858197 , 15.418899300000001",urban-rural,1976
298,298,"47.140011300000005 , 15.4083898","47.0375864 , 15.5102229",urban-rural,1976
299,299,"48.161227000000004 , 16.4954404","48.1618201 , 16.5253515",urban-rural,1623
300,300,"47.8459717 , 13.101003700000001","47.673261600000004 , 13.101486600000001",urban-urban,1977
301,301,"47.1454047 , 15.434419300000002","47.007225500000004 , 15.433861100000001",urban-rural,1979
302,302,"48.185896400000004 , 16.3748364","48.2660969 , 16.2944211",urban-urban,1620
303,303,"47.7906831 , 13.1183046","47.672016000000006 , 13.118784900000001",urban-urban,1619
304,304,"47.102333300000005 , 15.414093200000002","47.0073652 , 15.509530300000002",urban-urban,1618
305,305,"47.019153700000004 , 15.377187500000002","47.146296400000004 , 15.5037219",urban-urban,1982
